teamID,offense_name,offense_weight,offense_height,offense_age,offense_birthCity,offense_birthState,offense_birthCountry,offense_position,offense_jersey,offense_xp,offense_status,offense_headshot
2,Nyheim Hines,198.0,68.0,26,Garner,NC,USA,Running Back,nyheim-hines,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3916430.png
2,Kevin Jarvis,321.0,78.0,24,Chicago,IL,USA,Guard,kevin-jarvis,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4241963.png
2,KeeSean Johnson,201.0,73.0,26,East Palo Alto,CA,USA,Wide Receiver,keesean-johnson,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3124537.png
2,Dawson Knox,254.0,76.0,26,Brentwood,TN,USA,Tight End,dawson-knox,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3930086.png
2,Greg Mancz,302.0,76.0,30,Cincinnati,OH,USA,Center,greg-mancz,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/2516865.png
2,Connor McGovern,308.0,77.0,25,Larksville,PA,USA,Guard,connor-mcgovern,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/4033748.png
2,Quintin Morris,252.0,74.0,24,Richmond,TX,USA,Tight End,quintin-morris,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/4244049.png
2,Mitch Morse,305.0,78.0,30,Austin,TX,USA,Center,mitch-morse,8,active,https://a.espncdn.com/i/headshots/nfl/players/full/2514122.png
2,Dezmon Patmon,225.0,76.0,24,San Diego,CA,USA,Wide Receiver,dezmon-patmon,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4054085.png
2,David Quessenberry,310.0,77.0,32,Carlsbad,CA,USA,Offensive Tackle,david-quessenberry,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/15946.png
2,Khalil Shakir,190.0,72.0,23,Murrieta,CA,USA,Wide Receiver,khalil-shakir,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4373678.png
2,Trent Sherfield,219.0,73.0,27,Danville,IL,USA,Wide Receiver,trent-sherfield,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3122168.png
2,Ryan Van Demark,307.0,78.0,25,Wayne,NJ,USA,Offensive Tackle,ryan-van-demark,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4239140.png
3,Chase Allen,251.0,78.0,25,Nixa,MO,USA,Tight End,chase-allen,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4035526.png
3,Khari Blasingame,233.0,72.0,26,Huntsville,AL,USA,Fullback,khari-blasingame,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3122154.png
3,Larry Borom,333.0,77.0,24,Detroit,MI,USA,Offensive Tackle,larry-borom,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4241217.png
3,Ja'Tyre Carter,311.0,75.0,24,White Castle,LA,USA,Guard,jatyre-carter,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4369950.png
3,Chase Claypool,238.0,76.0,24,Abbotsford,BC,Canada,Wide Receiver,chase-claypool,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4046692.png
3,Nate Davis,316.0,75.0,26,Ashburn,VA,USA,Guard,nate-davis,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3120070.png
3,Kellen Diesch,300.0,79.0,23,Trophy Club,TX,USA,Offensive Tackle,kellen-diesch,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4035251.png
3,Trestan Ebner,206.0,71.0,24,Henderson,TX,USA,Running Back,trestan-ebner,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4259169.png
3,Justin Fields,228.0,75.0,24,Kennesaw,GA,USA,Quarterback,justin-fields,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4362887.png
3,D'Onta Foreman,235.0,72.0,26,Texas City,TX,USA,Running Back,donta-foreman,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3125116.png
3,Daurice Fountain,210.0,73.0,27,Madison,WI,USA,Wide Receiver,daurice-fountain,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3120659.png
3,Khalil Herbert,212.0,69.0,24,Fort Lauderdale,FL,USA,Running Back,khalil-herbert,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4035886.png
3,Travis Homer,202.0,70.0,24,West Palm Beach,FL,USA,Running Back,travis-homer,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/4037457.png
